,knot_0,knot_333,knot_666,knot_1000
783,0.0,0.0,0.6497005988023952,0.35029940119760483
784,0.0,0.0,0.6467065868263473,0.3532934131736527
785,0.0,0.0,0.6437125748502994,0.3562874251497006
786,0.0,0.0,0.6407185628742516,0.35928143712574845
787,0.0,0.0,0.6377245508982036,0.36227544910179643
788,0.0,0.0,0.6347305389221557,0.3652694610778443
789,0.0,0.0,0.6317365269461078,0.3682634730538922
790,0.0,0.0,0.6287425149700598,0.37125748502994016
791,0.0,0.0,0.625748502994012,0.37425149700598803
792,0.0,0.0,0.6227544910179641,0.3772455089820359
793,0.0,0.0,0.6197604790419161,0.3802395209580839
794,0.0,0.0,0.6167664670658682,0.38323353293413176
795,0.0,0.0,0.6137724550898204,0.38622754491017963
796,0.0,0.0,0.6107784431137725,0.3892215568862275
797,0.0,0.0,0.6077844311377245,0.3922155688622755
798,0.0,0.0,0.6047904191616766,0.39520958083832336
799,0.0,0.0,0.6017964071856288,0.39820359281437123
800,0.0,0.0,0.5988023952095808,0.4011976047904192
801,0.0,0.0,0.5958083832335329,0.4041916167664671
802,0.0,0.0,0.592814371257485,0.40718562874251496
803,0.0,0.0,0.5898203592814372,0.41017964071856283
804,0.0,0.0,0.5868263473053892,0.4131736526946108
805,0.0,0.0,0.5838323353293413,0.4161676646706587
806,0.0,0.0,0.5808383233532934,0.41916167664670656
807,0.0,0.0,0.5778443113772455,0.42215568862275454
808,0.0,0.0,0.5748502994011976,0.4251497005988024
809,0.0,0.0,0.5718562874251497,0.4281437125748503
810,0.0,0.0,0.5688622754491018,0.43113772455089816
811,0.0,0.0,0.5658682634730539,0.43413173652694614
812,0.0,0.0,0.562874251497006,0.437125748502994
813,0.0,0.0,0.5598802395209581,0.4401197604790419
814,0.0,0.0,0.5568862275449101,0.44311377245508987
815,0.0,0.0,0.5538922155688623,0.44610778443113774
816,0.0,0.0,0.5508982035928144,0.4491017964071856
817,0.0,0.0,0.5479041916167665,0.4520958083832335
818,0.0,0.0,0.5449101796407185,0.45508982035928147
819,0.0,0.0,0.5419161676646707,0.45808383233532934
820,0.0,0.0,0.5389221556886228,0.4610778443113772
821,0.0,0.0,0.5359281437125748,0.4640718562874252
822,0.0,0.0,0.5329341317365269,0.46706586826347307
823,0.0,0.0,0.5299401197604791,0.47005988023952094
824,0.0,0.0,0.5269461077844312,0.4730538922155688
825,0.0,0.0,0.5239520958083832,0.4760479041916168
826,0.0,0.0,0.5209580838323353,0.47904191616766467
827,0.0,0.0,0.5179640718562875,0.48203592814371254
